candidate,topic,words
Anne Hidalgo,Guerre en Ukraine,"['peuple ukrainien', 'vladimir poutine', 'une voix', 'solidarité peuple', 'solidarité peuple ukrainien', 'représentants communauté', 'soir invitée', 'ukraine pays', 'nouvelle fois spectre', 'situation ukraine', 'guerre fait', 'fois spectre', 'fait jour portes', 'ai rencontré', 'cet acte', 'ukraine europe', 'fois spectre guerre', 'fait jour', 'aujourd hui', 'liberté paix', 'paix europe', 'liberté nôtre', 'ukrainiennes ukrainiens', 'jour portes europe', 'jour portes', 'spectre guerre', 'spectre guerre fait', 'représentants communauté ukrainienne', 'doivent être', 'guerre fait jour']"
Anne Hidalgo,Covid,"['hôpital public', 'déserts médicaux', 'navire amiral', 'navire amiral système', 'professionnels santé', 'services publics', 'amiral système santé', 'système santé', 'amiral système', 'public doit', 'internat année professionnalisation', 'internat année', 'hôpital public doit', 'doit être navire', 'piliers société', 'être navire amiral', 'besoins santé', 'public qu est', 'qu est hôpital', 'qu est', 'personnels soignants', 'marshall hôpital', 'matin hôpital', 'dépenses santé', 'mettrai terme', 'année professionnalisation', 'année internat année', 'année internat', 'en ferai', 'public doit être']"
Anne Hidalgo,Ecologie,"['transition écologique', 'changement climatique', 'urgence sociale', 'dérèglement climatique', 'comment allons', 'urgence climatique', 'action climatique', 'inaction climatique', 'isf climatique', 'climatique mondiale', 'prix action', 'contre changement climatique', 'urgence écologique urgence', 'écologie doit', 'urgent agir', 'urgence écologique', 'mondiale onu', 'justice sociale', 'comme ai', 'prix action climatique', 'climatique mondiale onu', 'aujourd hui', 'écologique doit', 'climatique faut', 'ai pu', 'écologique urgence sociale', 'écologique sans', 'face urgence', 'écologique urgence', 'contre changement']"
Anne Hidalgo,Union Européenne,"['social démocratie', 'union européenne', 'pouvoir achat', 'siècle comme', 'aujourd hui', 'transition écologique', 'une europe', 'défis siècle comme', 'défis siècle', 'avenir europe', 'porte veux', 'pourrons agir salaires', 'personne reste bas', 'plus jamais', 'permettre maîtriser avenir', 'permettre maîtriser', 'passe social démocratie', 'passe social', 'partout sous effet', 'pourrons agir', 'plus justice égalité', 'plus justice', 'porte message espoir', 'politiques social', 'politiques social démocrates', 'porte veux incarner', 'polémiquer soutiendrai', 'polémiquer soutiendrai tout', 'porte message', 'plus jamais comme']"
Anne Hidalgo,Macron,"['françaises français', 'aujourd hui', 'françois mitterrand', 'toutes tous', 'tous français', 'tous français cette', 'françaises tous', 'hommage françois', 'hommage françois mitterrand', 'hommage homme', 'français cette', 'vie quotidienne', 'toutes françaises', 'françaises tous français', 'droits enfant', 'français attendent', 'toutes françaises tous', 'parisiennes parisiens', 'transition écologique', 'samedi jarnac', 'ville paris', 'police municipale', 'jean jaurès', 'merci toutes tous', 'merci toutes', 'cette force', 'élus locaux', 'femmes hommes', 'jacques toubon', 'pouvoir achat transition']"
Anne Hidalgo,Violences faites aux femmes,"['femmes hommes', 'entre femmes hommes', 'lutte contre', 'faites femmes', 'entre femmes', 'violences faites femmes', 'violences faites', 'présidente république', 'citoyenneté honneur ville', 'femmes victimes', 'victimes violences', 'femmes victimes violences', 'rendez vous femmes', 'rendez vous', 'citoyenneté honneur', 'vous femmes', 'contre violences', 'égalité salariale', 'contre violences faites', 'vous femmes françaises', 'honneur ville', 'honneur ville paris', 'aujourd hui', 'féminicides violences', 'femmes françaises', 'ville paris', 'politique est femmes', 'place centrale', 'politique est', 'politique extrêmement']"
Anne Hidalgo,Education,"['avenir enfants', 'chaque jeune', 'faire confiance', 'qu il', 'moyens autonomie', 'donner moyens', 'voix haute', 'celles ceux', 'samuel paty', 'école inclusive', 'aujourd hui', 'dotation permettant', 'métier professeur', 'rendez vous', 'contre harcèlement', 'tout œuvre', 'donner moyens autonomie', 'est cette', 'est cette école', 'leurs projets', 'veux donner moyens', 'veux donner', 'enfants situation', 'enfants situation handicap', 'clermont ferrand', 'confiance jeunes', 'situation handicap', 'jeunesse culture', 'service public', 'décider avenir']"
Anne Hidalgo,Annonce meeting,"['aujourd hui', 'merci toutes', 'habitantes habitants', 'hôtel ville', 'merci toutes tous', 'accueil chaleureux', 'rendez vous', 'jean christophe vincent', 'demain matin', 'président jean christophe', 'outre mer', 'demain matin invitée', 'jean christophe', 'toutes tous', 'christophe vincent', 'matin invitée', 'invitée émission', 'très heureuse', 'meeting aubervilliers', 'président jean', 'politique touchée heureuse', 'populaires spectaculaires', 'porter pays demain', 'porter pays', 'poursuivrons ensemble', 'populaire sylvieguillaume', 'populaires spectaculaires quelle', 'poursuivrons ensemble tous', 'première fois', 'populaire sylvieguillaume psrhone']"
Anne Hidalgo,Commémoration,"['adresse toutes', 'compagnon libération', 'adresse toutes condoléances', 'ainsi qu', 'toutes condoléances', 'hubert germain', 'grande tristesse', 'dernier compagnon', 'paris ville compagnon', 'pensées soutien', 'adresse toutes pensées', 'toutes victimes', 'toutes pensées soutien', 'toutes pensées', 'paris ville', 'dernier compagnon libération', 'où tant', 'leurs proches', 'hubert germain dernier', 'ville compagnon', 'apprendre disparition', 'terrible accident', 'leurs côtés', 'germain dernier compagnon', 'germain dernier', 'hommage hubert', 'hommage hubert germain', 'porte novembre recueillement', 'potasse entre', '']"
